date,casos_total,fallecidos total,ccaa_text,cod_ccaa
27/02/2020,1,0,Andalucía,1
27/02/2020,0,0,Aragón,2
27/02/2020,0,0,Asturias,3
27/02/2020,1,0,Baleares,4
27/02/2020,6,0,Canarias,5
27/02/2020,0,0,Cantabria,6
27/02/2020,0,0,Castilla-La Mancha,8
27/02/2020,0,0,Castilla y León,7
27/02/2020,2,0,Cataluña,9
27/02/2020,0,0,Ceuta,18
27/02/2020,2,0,C. Valenciana,10
27/02/2020,0,0,Extremadura,11
27/02/2020,0,0,Galicia,12
27/02/2020,4,0,Madrid,13
27/02/2020,0,0,Melilla,19
27/02/2020,0,0,Murcia,14
27/02/2020,0,0,Navarra,15
27/02/2020,0,0,País Vasco,16
27/02/2020,0,0,La Rioja,17
27/02/2020,16,0,Total,0
28/02/2020,6,0,Andalucía,1
28/02/2020,1,0,Aragón,2
28/02/2020,0,0,Asturias,3
28/02/2020,1,0,Baleares,4
28/02/2020,6,0,Canarias,5
28/02/2020,0,0,Cantabria,6
28/02/2020,0,0,Castilla-La Mancha,8
28/02/2020,2,0,Castilla y León,7
28/02/2020,3,0,Cataluña,9
28/02/2020,0,0,Ceuta,18
28/02/2020,8,0,C. Valenciana,10
28/02/2020,0,0,Extremadura,11
28/02/2020,0,0,Galicia,12
28/02/2020,5,0,Madrid,13
28/02/2020,0,0,Melilla,19
28/02/2020,0,0,Murcia,14
28/02/2020,0,0,Navarra,15
28/02/2020,0,0,País Vasco,16
28/02/2020,0,0,La Rioja,17
28/02/2020,32,0,Total,0
29/02/2020,8,0,Andalucía,1
29/02/2020,1,0,Aragón,2
29/02/2020,0,0,Asturias,3
29/02/2020,2,0,Baleares,4
29/02/2020,6,0,Canarias,5
29/02/2020,0,0,Cantabria,6
29/02/2020,0,0,Castilla-La Mancha,8
29/02/2020,2,0,Castilla y León,7
29/02/2020,5,0,Cataluña,9
29/02/2020,0,0,Ceuta,18
29/02/2020,10,0,C. Valenciana,10
29/02/2020,0,0,Extremadura,11
29/02/2020,0,0,Galicia,12
29/02/2020,8,0,Madrid,13
29/02/2020,0,0,Melilla,19
29/02/2020,0,0,Murcia,14
29/02/2020,0,0,Navarra,15
29/02/2020,2,0,País Vasco,16
29/02/2020,0,0,La Rioja,17
29/02/2020,44,0,Total,0
01/03/2020,12,0,Andalucía,1
01/03/2020,0,0,Aragón,2
01/03/2020,1,0,Asturias,3
01/03/2020,2,0,Baleares,4
01/03/2020,7,0,Canarias,5
01/03/2020,1,0,Cantabria,6
01/03/2020,1,0,Castilla-La Mancha,8
01/03/2020,3,0,Castilla y León,7
01/03/2020,6,0,Cataluña,9
01/03/2020,0,0,Ceuta,18
01/03/2020,15,0,C. Valenciana,10
01/03/2020,4,0,Extremadura,11
01/03/2020,0,0,Galicia,12
01/03/2020,10,0,Madrid,13
01/03/2020,0,0,Melilla,19
01/03/2020,0,0,Murcia,14
01/03/2020,1,0,Navarra,15
01/03/2020,3,0,País Vasco,16
01/03/2020,0,0,La Rioja,17
01/03/2020,66,0,Total,0
02/03/2020,12,0,Andalucía,1
02/03/2020,0,0,Aragón,2
02/03/2020,1,0,Asturias,3
02/03/2020,2,0,Baleares,4
02/03/2020,7,0,Canarias,5
02/03/2020,10,0,Cantabria,6
02/03/2020,3,0,Castilla-La Mancha,8
02/03/2020,3,0,Castilla y León,7
02/03/2020,15,0,Cataluña,9
02/03/2020,0,0,Ceuta,18
02/03/2020,15,0,C. Valenciana,10
02/03/2020,6,0,Extremadura,11
02/03/2020,0,0,Galicia,12
02/03/2020,29,0,Madrid,13
02/03/2020,0,0,Melilla,19
02/03/2020,0,0,Murcia,14
02/03/2020,1,0,Navarra,15
02/03/2020,9,0,País Vasco,16
02/03/2020,1,0,La Rioja,17
02/03/2020,114,0,Total,0
03/03/2020,13,0,Andalucía,1
03/03/2020,0,0,Aragón,2
03/03/2020,1,0,Asturias,3
03/03/2020,2,0,Baleares,4
03/03/2020,7,0,Canarias,5
03/03/2020,10,0,Cantabria,6
03/03/2020,7,0,Castilla-La Mancha,8
03/03/2020,8,0,Castilla y León,7
03/03/2020,15,0,Cataluña,9
03/03/2020,0,0,Ceuta,18
03/03/2020,15,0,C. Valenciana,10
03/03/2020,6,0,Extremadura,11
03/03/2020,0,0,Galicia,12
03/03/2020,49,0,Madrid,13
03/03/2020,0,0,Melilla,19
03/03/2020,0,0,Murcia,14
03/03/2020,1,0,Navarra,15
03/03/2020,13,0,País Vasco,16
03/03/2020,3,0,La Rioja,17
03/03/2020,150,0,Total,0
04/03/2020,13,0,Andalucía,1
04/03/2020,0,0,Aragón,2
04/03/2020,2,0,Asturias,3
04/03/2020,5,0,Baleares,4
04/03/2020,7,0,Canarias,5
04/03/2020,10,0,Cantabria,6
04/03/2020,12,0,Castilla-La Mancha,8
04/03/2020,11,0,Castilla y León,7
04/03/2020,15,0,Cataluña,9
04/03/2020,0,0,Ceuta,18
04/03/2020,19,1,C. Valenciana,10
04/03/2020,6,0,Extremadura,11
04/03/2020,1,0,Galicia,12
04/03/2020,70,0,Madrid,13
04/03/2020,0,0,Melilla,19
04/03/2020,0,0,Murcia,14
04/03/2020,3,0,Navarra,15
04/03/2020,17,0,País Vasco,16
04/03/2020,7,0,La Rioja,17
04/03/2020,198,1,Total,0
05/03/2020,12,0,Andalucía,1
05/03/2020,1,0,Aragón,2
05/03/2020,5,0,Asturias,3
05/03/2020,6,0,Baleares,4
05/03/2020,8,0,Canarias,5
05/03/2020,10,0,Cantabria,6
05/03/2020,13,0,Castilla-La Mancha,8
05/03/2020,11,0,Castilla y León,7
05/03/2020,24,0,Cataluña,9
05/03/2020,0,0,Ceuta,18
05/03/2020,19,1,C. Valenciana,10
05/03/2020,6,0,Extremadura,11
05/03/2020,1,0,Galicia,12
05/03/2020,90,1,Madrid,13
05/03/2020,0,0,Melilla,19
05/03/2020,0,0,Murcia,14
05/03/2020,3,0,Navarra,15
05/03/2020,17,1,País Vasco,16
05/03/2020,11,0,La Rioja,17
05/03/2020,237,3,Total,0
06/03/2020,21,0,Andalucía,1
06/03/2020,6,1,Aragón,2
06/03/2020,5,0,Asturias,3
06/03/2020,6,0,Baleares,4
06/03/2020,11,0,Canarias,5
06/03/2020,10,0,Cantabria,6
06/03/2020,15,0,Castilla-La Mancha,8
06/03/2020,14,0,Castilla y León,7
06/03/2020,24,0,Cataluña,9
06/03/2020,0,0,Ceuta,18
06/03/2020,30,1,C. Valenciana,10
06/03/2020,6,0,Extremadura,11
06/03/2020,3,0,Galicia,12
06/03/2020,137,2,Madrid,13
06/03/2020,0,0,Melilla,19
06/03/2020,0,0,Murcia,14
06/03/2020,3,0,Navarra,15
06/03/2020,45,1,País Vasco,16
06/03/2020,29,0,La Rioja,17
06/03/2020,365,5,Total,0
07/03/2020,27,0,Andalucía,1
07/03/2020,11,1,Aragón,2
07/03/2020,5,0,Asturias,3
07/03/2020,6,0,Baleares,4
07/03/2020,18,0,Canarias,5
07/03/2020,10,0,Cantabria,6
07/03/2020,15,0,Castilla-La Mancha,8
07/03/2020,14,0,Castilla y León,7
07/03/2020,24,1,Cataluña,9
07/03/2020,0,0,Ceuta,18
07/03/2020,30,1,C. Valenciana,10
07/03/2020,6,0,Extremadura,11
07/03/2020,3,0,Galicia,12
07/03/2020,174,4,Madrid,13
07/03/2020,0,0,Melilla,19
07/03/2020,0,0,Murcia,14
07/03/2020,3,0,Navarra,15
07/03/2020,45,1,País Vasco,16
07/03/2020,39,0,La Rioja,17
07/03/2020,430,8,Total,0
08/03/2020,35,0,Andalucía,1
08/03/2020,13,2,Aragón,2
08/03/2020,7,0,Asturias,3
08/03/2020,8,0,Baleares,4
08/03/2020,17,0,Canarias,5
08/03/2020,12,0,Cantabria,6
08/03/2020,15,0,Castilla-La Mancha,8
08/03/2020,22,0,Castilla y León,7
08/03/2020,49,1,Cataluña,9
08/03/2020,0,0,Ceuta,18
08/03/2020,37,1,C. Valenciana,10
08/03/2020,6,0,Extremadura,11
08/03/2020,5,0,Galicia,12
08/03/2020,202,8,Madrid,13
08/03/2020,0,0,Melilla,19
08/03/2020,1,0,Murcia,14
08/03/2020,3,0,Navarra,15
08/03/2020,102,5,País Vasco,16
08/03/2020,55,0,La Rioja,17
08/03/2020,589,17,Total,0
09/03/2020,54,0,Andalucía,1
09/03/2020,13,2,Aragón,2
09/03/2020,7,0,Asturias,3
09/03/2020,11,0,Baleares,4
09/03/2020,22,0,Canarias,5
09/03/2020,12,0,Cantabria,6
09/03/2020,26,0,Castilla-La Mancha,8
09/03/2020,23,0,Castilla y León,7
09/03/2020,75,1,Cataluña,9
09/03/2020,0,0,Ceuta,18
09/03/2020,37,1,C. Valenciana,10
09/03/2020,7,0,Extremadura,11
09/03/2020,6,0,Galicia,12
09/03/2020,469,8,Madrid,13
09/03/2020,0,0,Melilla,19
09/03/2020,4,0,Murcia,14
09/03/2020,3,0,Navarra,15
09/03/2020,149,5,País Vasco,16
09/03/2020,81,0,La Rioja,17
09/03/2020,999,17,Total,0
10/03/2020,71,0,Andalucía,1
10/03/2020,38,3,Aragón,2
10/03/2020,22,0,Asturias,3
10/03/2020,13,0,Baleares,4
10/03/2020,25,0,Canarias,5
10/03/2020,12,0,Cantabria,6
10/03/2020,39,0,Castilla-La Mancha,8
10/03/2020,56,0,Castilla y León,7
10/03/2020,124,3,Cataluña,9
10/03/2020,0,0,Ceuta,18
10/03/2020,50,1,C. Valenciana,10
10/03/2020,8,0,Extremadura,11
10/03/2020,22,0,Galicia,12
10/03/2020,782,21,Madrid,13
10/03/2020,0,0,Melilla,19
10/03/2020,9,0,Murcia,14
10/03/2020,12,0,Navarra,15
10/03/2020,195,6,País Vasco,16
10/03/2020,144,1,La Rioja,17
10/03/2020,1622,35,Total,0
11/03/2020,90,0,Andalucía,1
11/03/2020,45,4,Aragón,2
11/03/2020,32,0,Asturias,3
11/03/2020,16,0,Baleares,4
11/03/2020,37,0,Canarias,5
11/03/2020,12,0,Cantabria,6
11/03/2020,71,0,Castilla-La Mancha,8
11/03/2020,71,0,Castilla y León,7
11/03/2020,156,3,Cataluña,9
11/03/2020,0,0,Ceuta,18
11/03/2020,65,1,C. Valenciana,10
11/03/2020,9,0,Extremadura,11
11/03/2020,39,0,Galicia,12
11/03/2020,1024,31,Madrid,13
11/03/2020,0,0,Melilla,19
11/03/2020,11,0,Murcia,14
11/03/2020,46,0,Navarra,15
11/03/2020,225,6,País Vasco,16
11/03/2020,179,2,La Rioja,17
11/03/2020,2128,47,Total,0
12/03/2020,115,0,Andalucía,1
12/03/2020,64,6,Aragón,2
12/03/2020,47,1,Asturias,3
12/03/2020,22,1,Baleares,4
12/03/2020,51,0,Canarias,5
12/03/2020,16,0,Cantabria,6
12/03/2020,115,1,Castilla-La Mancha,8
12/03/2020,92,0,Castilla y León,7
12/03/2020,260,4,Cataluña,9
12/03/2020,0,0,Ceuta,18
12/03/2020,76,1,C. Valenciana,10
12/03/2020,19,1,Extremadura,11
12/03/2020,35,0,Galicia,12
12/03/2020,1388,56,Madrid,13
12/03/2020,0,0,Melilla,19
12/03/2020,26,0,Murcia,14
12/03/2020,73,0,Navarra,15
12/03/2020,346,11,País Vasco,16
12/03/2020,205,2,La Rioja,17
12/03/2020,2950,84,Total,0
13/03/2020,219,0,Andalucía,1
13/03/2020,80,7,Aragón,2
13/03/2020,67,1,Asturias,3
13/03/2020,30,1,Baleares,4
13/03/2020,70,0,Canarias,5
13/03/2020,29,0,Cantabria,6
13/03/2020,194,5,Castilla-La Mancha,8
13/03/2020,169,1,Castilla y León,7
13/03/2020,316,4,Cataluña,9
13/03/2020,0,0,Ceuta,18
13/03/2020,94,1,C. Valenciana,10
13/03/2020,39,1,Extremadura,11
13/03/2020,85,0,Galicia,12
13/03/2020,1990,81,Madrid,13
13/03/2020,2,0,Melilla,19
13/03/2020,35,0,Murcia,14
13/03/2020,130,0,Navarra,15
13/03/2020,417,14,País Vasco,16
13/03/2020,243,2,La Rioja,17
13/03/2020,4209,120,Total,0
14/03/2020,269,2,Andalucía,1
14/03/2020,80,7,Aragón,2
14/03/2020,92,1,Asturias,3
14/03/2020,28,1,Baleares,4
14/03/2020,90,1,Canarias,5
14/03/2020,31,0,Cantabria,6
14/03/2020,289,6,Castilla-La Mancha,8
14/03/2020,223,3,Castilla y León,7
14/03/2020,509,6,Cataluña,9
14/03/2020,0,0,Ceuta,18
14/03/2020,130,4,C. Valenciana,10
14/03/2020,66,2,Extremadura,11
14/03/2020,115,0,Galicia,12
14/03/2020,2940,86,Madrid,13
14/03/2020,3,0,Melilla,19
14/03/2020,47,0,Murcia,14
14/03/2020,146,0,Navarra,15
14/03/2020,417,14,País Vasco,16
14/03/2020,278,3,La Rioja,17
14/03/2020,5753,136,Total,0
15/03/2020,437,6,Andalucía,1
